date,ticker,close
2024-01-02,AAPL,185.64
2024-01-03,AAPL,184.22
2024-01-04,AAPL,186.01
2024-01-05,AAPL,187.55
2024-01-08,AAPL,188.14
2024-01-09,AAPL,189.44
2024-01-10,AAPL,190.12
2024-01-11,AAPL,188.93
2024-01-12,AAPL,191.33
2024-01-16,AAPL,192.05
2024-01-17,AAPL,193.11
2024-01-18,AAPL,194.22
2024-01-19,AAPL,193.85
2024-01-22,AAPL,195.71
2024-01-23,AAPL,196.12
2024-01-24,AAPL,197.03
2024-01-25,AAPL,196.44
2024-01-26,AAPL,197.95
2024-01-29,AAPL,198.43
2024-01-30,AAPL,199.12
2024-01-02,MSFT,367.21
2024-01-03,MSFT,368.02
2024-01-04,MSFT,369.45
2024-01-05,MSFT,370.88
2024-01-08,MSFT,369.77
2024-01-09,MSFT,371.34
2024-01-10,MSFT,372.12
2024-01-11,MSFT,373.66
2024-01-12,MSFT,374.11
2024-01-16,MSFT,375.92
2024-01-17,MSFT,376.01
2024-01-18,MSFT,377.55
2024-01-19,MSFT,378.04
2024-01-22,MSFT,379.78
2024-01-23,MSFT,380.41
2024-01-24,MSFT,381.12
2024-01-25,MSFT,382.73
2024-01-26,MSFT,382.05
2024-01-29,MSFT,383.14
2024-01-30,MSFT,384.22
2024-01-02,GOOG,138.12
2024-01-03,GOOG,138.77
2024-01-04,GOOG,139.21
2024-01-05,GOOG,139.88
2024-01-08,GOOG,140.12
2024-01-09,GOOG,140.44
2024-01-10,GOOG,141.03
2024-01-11,GOOG,141.52
2024-01-12,GOOG,142.11
2024-01-16,GOOG,142.66
2024-01-17,GOOG,142.34
2024-01-18,GOOG,143.01
2024-01-19,GOOG,143.55
2024-01-22,GOOG,144.12
2024-01-23,GOOG,144.55
2024-01-24,GOOG,145.02
2024-01-25,GOOG,145.66
2024-01-26,GOOG,145.12
2024-01-29,GOOG,145.77
2024-01-30,GOOG,146.21
